# gate	bias	idc	gx	gy	gr
0.959	5e-05	1.529981242e-11	3.960372727e-08	2.2056e-07	2.240874133e-07
0.96	5e-05	2.055585757e-11	4.043609091e-08	2.268718182e-07	2.304471725e-07
0.961	5e-05	1.487575238e-11	4.029736364e-08	2.299927273e-07	2.334963214e-07
0.962	5e-05	2.011426048e-11	3.585845455e-08	2.247218182e-07	2.275647695e-07
0.963	5e-05	1.423615933e-11	2.892245455e-08	2.146645455e-07	2.166041908e-07
0.964	5e-05	1.719494829e-11	2.892245455e-08	2.1411e-07	2.160546238e-07
0.965	5e-05	1.464698178e-11	3.044836364e-08	2.1952e-07	2.216215992e-07
0.966	5e-05	1.739946349e-11	3.0379e-08	2.174390909e-07	2.195510007e-07
0.967	5e-05	1.397063322e-11	3.356945455e-08	2.114736364e-07	2.141214776e-07
0.968	5e-05	1.700142139e-11	3.793918182e-08	2.0759e-07	2.110284095e-07
0.969	5e-05	1.495733132e-11	3.786981818e-08	2.152190909e-07	2.185254681e-07
0.97	5e-05	2.241077919e-11	3.648263636e-08	2.243054545e-07	2.272529861e-07
0.971	5e-05	1.521793112e-11	3.884081818e-08	2.249290909e-07	2.282579793e-07
0.972	5e-05	1.842300559e-11	4.383463636e-08	2.202827273e-07	2.246017704e-07
0.973	5e-05	1.525627219e-11	4.591536364e-08	2.117518182e-07	2.166726866e-07
0.974	5e-05	1.813909436e-11	4.251681818e-08	2.077290909e-07	2.120355042e-07
0.975	5e-05	1.649246379e-11	3.613581818e-08	2.0863e-07	2.117363319e-07
0.976	5e-05	1.895701505e-11	3.467918182e-08	2.053009091e-07	2.082092912e-07
0.977	5e-05	1.549719629e-11	3.759236364e-08	2.031509091e-07	2.065998007e-07
0.978	5e-05	1.797994094e-11	3.676009091e-08	2.0759e-07	2.108196205e-07
0.979	5e-05	1.645166694e-11	3.162745455e-08	2.127918182e-07	2.151293884e-07
0.98	5e-05	2.098901062e-11	2.809018182e-08	2.096009091e-07	2.114748198e-07
0.981	5e-05	1.573486077e-11	2.351254545e-08	2.050236364e-07	2.063674666e-07
0.982	5e-05	2.213789313e-11	2.906118182e-08	2.059945455e-07	2.080343843e-07
0.983	5e-05	1.722320077e-11	3.024027273e-08	2.066190909e-07	2.088203123e-07
0.984	5e-05	2.595959584e-11	2.587072727e-08	2.087690909e-07	2.103659379e-07
0.985	5e-05	1.727598888e-11	2.580136364e-08	2.089772727e-07	2.105640304e-07
0.986	5e-05	2.27400817e-11	3.010154545e-08	2.1085e-07	2.12987853e-07
0.987	5e-05	1.765386117e-11	3.4055e-08	2.188263636e-07	2.214604264e-07
0.988	5e-05	1.994876482e-11	3.447109091e-08	2.175081818e-07	2.202227628e-07
0.989	5e-05	2.17289881e-11	3.211290909e-08	2.120290909e-07	2.144471364e-07
0.99	5e-05	1.942889266e-11	3.377754545e-08	2.083527273e-07	2.110729294e-07
0.991	5e-05	2.40176675e-11	3.856336364e-08	2.105027273e-07	2.140059139e-07
0.992	5e-05	2.007478371e-11	4.369590909e-08	2.102254545e-07	2.147185931e-07
0.993	5e-05	2.51230909e-11	4.355718182e-08	2.068963636e-07	2.114316281e-07
0.994	5e-05	1.942536755e-11	4.029736364e-08	2.111272727e-07	2.149386024e-07
0.995	5e-05	2.383737081e-11	3.981181818e-08	2.152190909e-07	2.188703679e-07
0.996	5e-05	1.979548904e-11	4.029736364e-08	2.131381818e-07	2.169141813e-07
0.997	5e-05	2.26119979e-11	4.217e-08	2.181327273e-07	2.221715454e-07
0.998	5e-05	1.869482969e-11	3.676009091e-08	2.115436364e-07	2.147137964e-07
0.999	5e-05	2.414463035e-11	3.578909091e-08	2.052318182e-07	2.083289664e-07
1	5e-05	2.101920264e-11	4.043609091e-08	2.036363636e-07	2.076122493e-07
